transaction_id,customer_id,date,type,category,amount,balance_after
TXN000023_CUST0003,CUST0003,2026-04-19,credit,transfer_in,34716,161273
TXN000024_CUST0003,CUST0003,2026-04-19,debit,entertainment,605,160668
TXN000025_CUST0003,CUST0003,2026-04-20,debit,groceries,345,160323
TXN000026_CUST0003,CUST0003,2026-04-20,debit,rent,10489,149834
TXN000027_CUST0003,CUST0003,2026-04-24,debit,groceries,1595,148239
TXN000028_CUST0003,CUST0003,2026-04-26,debit,p2p,427,147812
TXN000029_CUST0003,CUST0003,2026-04-29,credit,transfer_in,73371,221183
TXN000030_CUST0003,CUST0003,2026-04-29,debit,entertainment,1679,219504
TXN000031_CUST0003,CUST0003,2026-04-30,debit,groceries,1562,217942
TXN000032_CUST0003,CUST0003,2026-05-03,debit,p2p,2386,215556
TXN000033_CUST0003,CUST0003,2026-05-06,debit,utility_bill,408,215148
TXN000034_CUST0003,CUST0003,2026-05-08,credit,transfer_in,33889,249037
TXN000035_CUST0003,CUST0003,2026-05-09,debit,p2p,2261,246776
TXN000036_CUST0003,CUST0003,2026-05-11,debit,utility_bill,1321,245455
TXN000037_CUST0003,CUST0003,2026-05-13,debit,groceries,1657,243798
TXN000038_CUST0003,CUST0003,2026-05-16,debit,entertainment,1654,242144
TXN000039_CUST0003,CUST0003,2026-05-20,debit,rent,4311,237833
TXN000040_CUST0003,CUST0003,2026-05-21,debit,entertainment,1895,235938
TXN000041_CUST0003,CUST0003,2026-05-26,debit,entertainment,1638,234300
TXN000042_CUST0003,CUST0003,2026-05-28,debit,entertainment,292,234008
TXN000043_CUST0003,CUST0003,2026-05-29,debit,p2p,1633,232375
TXN000044_CUST0003,CUST0003,2026-06-04,debit,groceries,256,232119
TXN000045_CUST0003,CUST0003,2026-06-05,debit,rent,4929,227190
TXN000046_CUST0003,CUST0003,2026-06-06,debit,entertainment,1028,226162
TXN000047_CUST0003,CUST0003,2026-06-07,debit,entertainment,969,225193
TXN000048_CUST0003,CUST0003,2026-06-10,debit,p2p,1573,223620
TXN000049_CUST0003,CUST0003,2026-06-12,debit,utility_bill,863,222757
TXN000050_CUST0003,CUST0003,2026-06-14,debit,utility_bill,1119,221638
TXN000051_CUST0003,CUST0003,2026-06-15,debit,p2p,2064,219574
TXN000052_CUST0003,CUST0003,2026-06-17,debit,p2p,1780,217794
TXN000053_CUST0003,CUST0003,2026-06-20,debit,p2p,453,217341
TXN000054_CUST0003,CUST0003,2026-06-20,debit,rent,11476,205865
TXN000055_CUST0003,CUST0003,2026-06-25,credit,transfer_in,29338,235203
TXN000056_CUST0003,CUST0003,2026-06-25,debit,utility_bill,813,234390
TXN000057_CUST0003,CUST0003,2026-06-30,debit,p2p,2335,232055
TXN000058_CUST0003,CUST0003,2026-07-04,debit,groceries,266,231789
TXN000059_CUST0003,CUST0003,2026-07-06,debit,entertainment,274,231515
TXN000060_CUST0003,CUST0003,2026-07-10,debit,groceries,395,231120
TXN000061_CUST0003,CUST0003,2026-07-12,debit,utility_bill,1430,229690
TXN000062_CUST0003,CUST0003,2026-07-13,debit,p2p,1783,227907
TXN000063_CUST0003,CUST0003,2026-07-15,debit,entertainment,651,227256
TXN000064_CUST0003,CUST0003,2026-07-16,debit,groceries,357,226899
TXN000065_CUST0003,CUST0003,2026-07-18,debit,utility_bill,1491,225408
TXN000066_CUST0003,CUST0003,2026-07-20,debit,entertainment,2192,223216
TXN000067_CUST0003,CUST0003,2026-07-21,debit,entertainment,2220,220996
TXN000068_CUST0003,CUST0003,2026-07-22,debit,p2p,349,220647
TXN000069_CUST0003,CUST0003,2026-07-23,credit,transfer_in,51128,271775
TXN000070_CUST0003,CUST0003,2026-07-29,debit,p2p,451,271324
TXN000071_CUST0003,CUST0003,2026-08-02,debit,p2p,1538,269786
TXN000072_CUST0003,CUST0003,2026-08-05,debit,groceries,711,269075
TXN000073_CUST0003,CUST0003,2026-08-14,credit,transfer_in,41509,310584
TXN000074_CUST0003,CUST0003,2026-08-14,debit,entertainment,1410,309174
TXN000075_CUST0003,CUST0003,2026-08-16,debit,entertainment,1237,307937
TXN000076_CUST0003,CUST0003,2026-08-21,debit,utility_bill,279,307658
TXN000001_CUST0004,CUST0004,2026-03-01,credit,salary,51888,66083
TXN000002_CUST0004,CUST0004,2026-03-01,debit,p2p,2109,63974
TXN000003_CUST0004,CUST0004,2026-03-03,debit,utility_bill,2032,61942
TXN000004_CUST0004,CUST0004,2026-03-05,debit,p2p,1232,60710
TXN000005_CUST0004,CUST0004,2026-03-06,debit,utility_bill,1292,59418
TXN000006_CUST0004,CUST0004,2026-03-08,debit,p2p,1333,58085
TXN000007_CUST0004,CUST0004,2026-03-16,debit,entertainment,1766,56319
TXN000008_CUST0004,CUST0004,2026-03-20,debit,p2p,473,55846
TXN000009_CUST0004,CUST0004,2026-03-20,debit,rent,10247,45599
TXN000010_CUST0004,CUST0004,2026-03-23,debit,p2p,2452,43147
TXN000011_CUST0004,CUST0004,2026-03-25,debit,utility_bill,1143,42004
TXN000012_CUST0004,CUST0004,2026-03-26,debit,utility_bill,1103,40901
TXN000013_CUST0004,CUST0004,2026-03-27,debit,entertainment,1502,39399
TXN000014_CUST0004,CUST0004,2026-03-29,debit,utility_bill,171,39228
TXN000015_CUST0004,CUST0004,2026-04-01,credit,salary,51930,91158
TXN000016_CUST0004,CUST0004,2026-04-05,debit,rent,7676,83482
TXN000017_CUST0004,CUST0004,2026-04-08,debit,utility_bill,2341,81141
TXN000018_CUST0004,CUST0004,2026-04-11,debit,utility_bill,1861,79280
TXN000019_CUST0004,CUST0004,2026-04-13,debit,groceries,1776,77504
TXN000020_CUST0004,CUST0004,2026-04-15,debit,p2p,303,77201
TXN000021_CUST0004,CUST0004,2026-04-16,debit,groceries,1522,75679
TXN000022_CUST0004,CUST0004,2026-04-17,debit,entertainment,699,74980
TXN000023_CUST0004,CUST0004,2026-04-20,debit,groceries,1504,73476
TXN000024_CUST0004,CUST0004,2026-04-20,debit,rent,10518,62958
TXN000025_CUST0004,CUST0004,2026-04-23,debit,p2p,1358,61600
TXN000026_CUST0004,CUST0004,2026-04-26,debit,entertainment,1901,59699
TXN000027_CUST0004,CUST0004,2026-04-28,debit,groceries,906,58793
TXN000028_CUST0004,CUST0004,2026-05-01,credit,salary,53568,112361
TXN000029_CUST0004,CUST0004,2026-05-01,debit,entertainment,1114,111247
TXN000030_CUST0004,CUST0004,2026-05-03,debit,p2p,1386,109861
TXN000031_CUST0004,CUST0004,2026-05-05,debit,rent,8890,100971
TXN000032_CUST0004,CUST0004,2026-05-07,debit,groceries,2056,98915
TXN000033_CUST0004,CUST0004,2026-05-08,debit,entertainment,2208,96707
TXN000034_CUST0004,CUST0004,2026-05-16,debit,utility_bill,2108,94599
TXN000035_CUST0004,CUST0004,2026-05-17,debit,p2p,1853,92746
TXN000036_CUST0004,CUST0004,2026-05-30,debit,utility_bill,2495,90251
TXN000037_CUST0004,CUST0004,2026-06-01,credit,salary,51944,142195
TXN000038_CUST0004,CUST0004,2026-06-07,debit,utility_bill,2252,139943
TXN000039_CUST0004,CUST0004,2026-06-12,debit,groceries,1771,138172
TXN000040_CUST0004,CUST0004,2026-06-13,debit,groceries,1042,137130
TXN000041_CUST0004,CUST0004,2026-06-15,debit,p2p,411,136719
TXN000042_CUST0004,CUST0004,2026-06-17,debit,groceries,2083,134636
TXN000043_CUST0004,CUST0004,2026-06-18,debit,entertainment,887,133749
TXN000044_CUST0004,CUST0004,2026-07-01,credit,salary,52974,186723
TXN000045_CUST0004,CUST0004,2026-07-01,debit,utility_bill,2350,184373
TXN000046_CUST0004,CUST0004,2026-07-03,debit,utility_bill,164,184209
TXN000047_CUST0004,CUST0004,2026-07-05,debit,rent,11920,172289
TXN000048_CUST0004,CUST0004,2026-07-08,debit,entertainment,1567,170722
TXN000049_CUST0004,CUST0004,2026-07-09,debit,utility_bill,612,170110
TXN000050_CUST0004,CUST0004,2026-07-10,debit,entertainment,214,169896
TXN000051_CUST0004,CUST0004,2026-07-11,debit,groceries,563,169333
TXN000052_CUST0004,CUST0004,2026-07-16,debit,groceries,1797,167536
TXN000053_CUST0004,CUST0004,2026-07-20,debit,rent,7739,159797
TXN000054_CUST0004,CUST0004,2026-07-21,debit,p2p,1463,158334
TXN000055_CUST0004,CUST0004,2026-07-22,debit,utility_bill,2285,156049
TXN000056_CUST0004,CUST0004,2026-07-23,debit,p2p,1277,154772
TXN000057_CUST0004,CUST0004,2026-07-24,debit,utility_bill,1899,152873
TXN000058_CUST0004,CUST0004,2026-07-26,debit,p2p,1711,151162
TXN000059_CUST0004,CUST0004,2026-07-28,debit,entertainment,1822,149340
TXN000060_CUST0004,CUST0004,2026-07-29,debit,entertainment,903,148437
TXN000061_CUST0004,CUST0004,2026-08-01,credit,salary,53386,201823
TXN000062_CUST0004,CUST0004,2026-08-01,debit,utility_bill,2046,199777
TXN000063_CUST0004,CUST0004,2026-08-05,debit,rent,6978,192799
TXN000064_CUST0004,CUST0004,2026-08-06,debit,p2p,473,192326
TXN000065_CUST0004,CUST0004,2026-08-09,debit,utility_bill,361,191965
TXN000066_CUST0004,CUST0004,2026-08-10,debit,groceries,448,191517
TXN000067_CUST0004,CUST0004,2026-08-11,debit,utility_bill,2113,189404
TXN000068_CUST0004,CUST0004,2026-08-12,debit,p2p,1391,188013
TXN000069_CUST0004,CUST0004,2026-08-14,debit,utility_bill,630,187383
TXN000070_CUST0004,CUST0004,2026-08-20,debit,rent,8269,179114
TXN000071_CUST0004,CUST0004,2026-08-25,debit,entertainment,2058,177056
TXN000072_CUST0004,CUST0004,2026-08-26,debit,entertainment,1461,175595
TXN000001_CUST0005,CUST0005,2026-03-01,debit,groceries,2454,5631
TXN000002_CUST0005,CUST0005,2026-03-03,credit,salary,40635,46266
TXN000003_CUST0005,CUST0005,2026-03-03,debit,entertainment,1359,44907
TXN000004_CUST0005,CUST0005,2026-03-04,debit,p2p,1092,43815
TXN000005_CUST0005,CUST0005,2026-03-09,debit,entertainment,2159,41656
TXN000006_CUST0005,CUST0005,2026-03-13,debit,entertainment,903,40753
TXN000007_CUST0005,CUST0005,2026-03-17,debit,groceries,454,40299
TXN000008_CUST0005,CUST0005,2026-03-20,debit,rent,6791,33508
TXN000009_CUST0005,CUST0005,2026-03-21,debit,utility_bill,187,33321
TXN000010_CUST0005,CUST0005,2026-03-22,debit,entertainment,1678,31643
TXN000011_CUST0005,CUST0005,2026-03-23,debit,entertainment,2148,29495
TXN000012_CUST0005,CUST0005,2026-03-24,debit,entertainment,198,29297
TXN000013_CUST0005,CUST0005,2026-03-25,debit,p2p,2344,26953
TXN000014_CUST0005,CUST0005,2026-03-27,debit,entertainment,884,26069
TXN000015_CUST0005,CUST0005,2026-03-28,debit,groceries,2297,23772
TXN000016_CUST0005,CUST0005,2026-03-29,debit,utility_bill,2306,21466
TXN000017_CUST0005,CUST0005,2026-03-30,debit,p2p,1244,20222
TXN000018_CUST0005,CUST0005,2026-04-01,debit,entertainment,2030,18192
TXN000019_CUST0005,CUST0005,2026-04-03,credit,salary,41036,59228
TXN000020_CUST0005,CUST0005,2026-04-03,debit,groceries,279,58949
TXN000021_CUST0005,CUST0005,2026-04-04,debit,entertainment,1694,57255
TXN000022_CUST0005,CUST0005,2026-04-05,debit,rent,3154,54101
TXN000023_CUST0005,CUST0005,2026-04-07,debit,entertainment,1506,52595
TXN000024_CUST0005,CUST0005,2026-04-10,debit,groceries,1091,51504
TXN000025_CUST0005,CUST0005,2026-04-11,debit,entertainment,1260,50244
TXN000026_CUST0005,CUST0005,2026-04-12,debit,groceries,1298,48946
TXN000027_CUST0005,CUST0005,2026-04-15,debit,p2p,214,48732
TXN000028_CUST0005,CUST0005,2026-04-20,debit,rent,5661,43071
TXN000029_CUST0005,CUST0005,2026-04-30,debit,p2p,369,42702
TXN000030_CUST0005,CUST0005,2026-05-01,debit,utility_bill,461,42241
TXN000031_CUST0005,CUST0005,2026-05-02,debit,entertainment,1486,40755
TXN000032_CUST0005,CUST0005,2026-05-03,credit,salary,39489,80244
TXN000033_CUST0005,CUST0005,2026-05-03,debit,entertainment,2159,78085
TXN000034_CUST0005,CUST0005,2026-05-04,debit,entertainment,1918,76167
TXN000035_CUST0005,CUST0005,2026-05-05,debit,entertainment,501,75666
TXN000036_CUST0005,CUST0005,2026-05-06,debit,utility_bill,451,75215
TXN000037_CUST0005,CUST0005,2026-05-07,debit,utility_bill,1706,73509
TXN000038_CUST0005,CUST0005,2026-05-11,debit,groceries,524,72985
TXN000039_CUST0005,CUST0005,2026-05-12,debit,p2p,1971,71014
TXN000040_CUST0005,CUST0005,2026-05-14,debit,utility_bill,507,70507
TXN000041_CUST0005,CUST0005,2026-05-15,debit,entertainment,2431,68076
TXN000042_CUST0005,CUST0005,2026-05-18,debit,p2p,2420,65656
TXN000043_CUST0005,CUST0005,2026-05-19,debit,p2p,1727,63929
TXN000044_CUST0005,CUST0005,2026-05-20,debit,entertainment,1738,62191
TXN000045_CUST0005,CUST0005,2026-05-24,debit,utility_bill,1709,60482
TXN000046_CUST0005,CUST0005,2026-05-25,debit,p2p,1383,59099
TXN000047_CUST0005,CUST0005,2026-05-26,debit,utility_bill,409,58690
TXN000048_CUST0005,CUST0005,2026-05-27,debit,p2p,1874,56816
TXN000049_CUST0005,CUST0005,2026-05-28,debit,groceries,1629,55187
TXN000050_CUST0005,CUST0005,2026-05-29,debit,utility_bill,2180,53007
TXN000051_CUST0005,CUST0005,2026-05-31,debit,groceries,704,52303
TXN000052_CUST0005,CUST0005,2026-06-01,debit,entertainment,1510,50793
TXN000053_CUST0005,CUST0005,2026-06-03,credit,salary,40053,90846
TXN000054_CUST0005,CUST0005,2026-06-08,debit,utility_bill,2112,88734
TXN000055_CUST0005,CUST0005,2026-06-09,debit,entertainment,1457,87277
TXN000056_CUST0005,CUST0005,2026-06-10,debit,entertainment,1142,86135
TXN000057_CUST0005,CUST0005,2026-06-11,debit,p2p,1759,84376
TXN000058_CUST0005,CUST0005,2026-06-14,debit,utility_bill,2403,81973
TXN000059_CUST0005,CUST0005,2026-06-15,debit,entertainment,1008,80965
TXN000060_CUST0005,CUST0005,2026-06-17,debit,groceries,1825,79140
TXN000061_CUST0005,CUST0005,2026-06-19,debit,p2p,1141,77999
TXN000062_CUST0005,CUST0005,2026-06-20,debit,utility_bill,1883,76116
TXN000063_CUST0005,CUST0005,2026-06-21,debit,entertainment,1791,74325
TXN000064_CUST0005,CUST0005,2026-06-26,debit,p2p,2349,71976
TXN000065_CUST0005,CUST0005,2026-06-29,debit,utility_bill,1604,70372
TXN000066_CUST0005,CUST0005,2026-06-30,debit,groceries,2456,67916
TXN000067_CUST0005,CUST0005,2026-07-03,credit,salary,40085,108001
TXN000068_CUST0005,CUST0005,2026-07-05,debit,rent,7239,100762
TXN000069_CUST0005,CUST0005,2026-07-06,debit,utility_bill,1975,98787
TXN000070_CUST0005,CUST0005,2026-07-11,debit,groceries,2127,96660
TXN000071_CUST0005,CUST0005,2026-07-12,debit,entertainment,501,96159
TXN000072_CUST0005,CUST0005,2026-07-13,debit,utility_bill,1576,94583
TXN000073_CUST0005,CUST0005,2026-07-14,debit,entertainment,997,93586
TXN000074_CUST0005,CUST0005,2026-07-16,debit,groceries,1944,91642
TXN000075_CUST0005,CUST0005,2026-07-19,debit,groceries,621,91021
TXN000076_CUST0005,CUST0005,2026-07-20,debit,p2p,597,90424
TXN000077_CUST0005,CUST0005,2026-07-21,debit,utility_bill,2263,88161
TXN000078_CUST0005,CUST0005,2026-07-22,debit,utility_bill,1505,86656
TXN000079_CUST0005,CUST0005,2026-07-25,debit,entertainment,905,85751
TXN000080_CUST0005,CUST0005,2026-07-26,debit,entertainment,1770,83981
TXN000081_CUST0005,CUST0005,2026-07-27,debit,utility_bill,1991,81990
TXN000082_CUST0005,CUST0005,2026-07-31,debit,groceries,566,81424
TXN000083_CUST0005,CUST0005,2026-08-03,credit,salary,40030,121454
TXN000084_CUST0005,CUST0005,2026-08-03,debit,groceries,1224,120230
TXN000085_CUST0005,CUST0005,2026-08-06,debit,entertainment,1757,118473
TXN000086_CUST0005,CUST0005,2026-08-08,debit,entertainment,856,117617
TXN000087_CUST0005,CUST0005,2026-08-11,debit,groceries,698,116919
TXN000088_CUST0005,CUST0005,2026-08-12,debit,utility_bill,1400,115519
TXN000089_CUST0005,CUST0005,2026-08-13,debit,p2p,729,114790
