recovery_id,attempt_id,customer_id,predicted_retry_date,recovery_probability,recommended_action,customer_response,scheduled_retry_date,actual_retry_result
REC00053,ATMPT00448,CUST0040,,0.05,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00054,ATMPT00461,CUST0041,2026-07-07,0.88,RETRY_NOW,DECLINED,,NOT_ATTEMPTED
REC00055,ATMPT00470,CUST0042,,0.03,ALTERNATIVE_PAYMENT,NOT_REQUIRED,,NOT_ATTEMPTED
REC00056,ATMPT00471,CUST0042,2026-03-14,0.83,RESCHEDULE,ACCEPTED,2026-03-14,SUCCESS
REC00057,ATMPT00481,CUST0043,,0.03,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00058,ATMPT00485,CUST0043,2026-08-04,0.65,RETRY_NOW,ACCEPTED,2026-08-04,SUCCESS
REC00059,ATMPT00492,CUST0043,2026-08-07,0.73,RETRY_NOW,ACCEPTED,2026-08-07,SUCCESS
REC00060,ATMPT00494,CUST0044,2026-03-04,0.72,RETRY_NOW,NO_RESPONSE,,NOT_ATTEMPTED
REC00061,ATMPT00496,CUST0044,2026-04-05,0.88,RESCHEDULE,ACCEPTED,2026-04-05,SUCCESS
REC00062,ATMPT00502,CUST0044,,0.11,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00063,ATMPT00505,CUST0044,2026-05-10,0.61,RESCHEDULE,ACCEPTED,2026-05-10,SUCCESS
REC00064,ATMPT00509,CUST0044,2026-06-22,0.83,RESCHEDULE,ACCEPTED,2026-06-22,SUCCESS
REC00065,ATMPT00512,CUST0044,2026-07-31,0.71,RESCHEDULE,ACCEPTED,2026-07-31,SUCCESS
REC00066,ATMPT00516,CUST0044,2026-04-05,0.73,RESCHEDULE,NO_RESPONSE,,NOT_ATTEMPTED
REC00067,ATMPT00519,CUST0044,2026-05-01,0.78,RESCHEDULE,NO_RESPONSE,,NOT_ATTEMPTED
REC00068,ATMPT00522,CUST0044,2026-05-31,0.79,RESCHEDULE,ACCEPTED,2026-05-31,SUCCESS
REC00069,ATMPT00526,CUST0044,2026-07-27,0.88,RESCHEDULE,ACCEPTED,2026-07-27,SUCCESS
REC00070,ATMPT00543,CUST0047,,0.05,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00071,ATMPT00555,CUST0048,2026-03-23,0.81,RESCHEDULE,ACCEPTED,2026-03-23,SUCCESS
REC00072,ATMPT00559,CUST0048,,0.08,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00073,ATMPT00561,CUST0048,2026-06-23,0.8,RESCHEDULE,NO_RESPONSE,,NOT_ATTEMPTED
REC00074,ATMPT00564,CUST0048,2026-07-28,0.78,RESCHEDULE,NO_RESPONSE,,NOT_ATTEMPTED
REC00075,ATMPT00567,CUST0048,,0.11,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00076,ATMPT00571,CUST0048,2026-04-12,0.79,RESCHEDULE,ACCEPTED,2026-04-12,SUCCESS
REC00077,ATMPT00576,CUST0048,2026-07-28,0.65,RESCHEDULE,ACCEPTED,2026-07-28,SUCCESS
REC00078,ATMPT00580,CUST0048,,0.04,ALTERNATIVE_PAYMENT,NOT_REQUIRED,,NOT_ATTEMPTED
REC00079,ATMPT00583,CUST0048,2026-04-17,0.89,RETRY_NOW,ACCEPTED,2026-04-17,FAILED
REC00080,ATMPT00586,CUST0048,,0.1,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00081,ATMPT00589,CUST0048,,0.04,ALTERNATIVE_PAYMENT,NOT_REQUIRED,,NOT_ATTEMPTED
REC00082,ATMPT00592,CUST0048,,0.06,ALTERNATIVE_PAYMENT,NOT_REQUIRED,,NOT_ATTEMPTED
REC00083,ATMPT00595,CUST0048,,0.13,ALTERNATIVE_PAYMENT,NOT_REQUIRED,,NOT_ATTEMPTED
REC00084,ATMPT00598,CUST0049,,0.03,ALTERNATIVE_PAYMENT,NOT_REQUIRED,,NOT_ATTEMPTED
REC00085,ATMPT00602,CUST0050,,0.11,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00086,ATMPT00606,CUST0051,2026-03-21,0.89,RETRY_NOW,ACCEPTED,2026-03-21,SUCCESS
REC00087,ATMPT00618,CUST0051,,0.08,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00088,ATMPT00626,CUST0052,,0.02,ALTERNATIVE_PAYMENT,NOT_REQUIRED,,NOT_ATTEMPTED
REC00089,ATMPT00629,CUST0052,2026-05-12,0.71,RETRY_NOW,ACCEPTED,2026-05-12,SUCCESS
REC00090,ATMPT00634,CUST0053,2026-03-02,0.9,RESCHEDULE,ACCEPTED,2026-03-02,SUCCESS
REC00091,ATMPT00642,CUST0053,2026-04-19,0.76,RETRY_NOW,ACCEPTED,2026-04-19,SUCCESS
REC00092,ATMPT00647,CUST0053,,0.11,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00093,ATMPT00649,CUST0053,,0.01,ALTERNATIVE_PAYMENT,NOT_REQUIRED,,NOT_ATTEMPTED
REC00094,ATMPT00658,CUST0055,,0.1,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00095,ATMPT00675,CUST0056,2026-03-19,0.78,RETRY_NOW,ACCEPTED,2026-03-19,SUCCESS
REC00096,ATMPT00678,CUST0056,,0.1,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00097,ATMPT00686,CUST0057,2026-06-10,0.65,RETRY_NOW,ACCEPTED,2026-06-10,SUCCESS
REC00098,ATMPT00693,CUST0057,2026-06-02,0.66,RETRY_NOW,ACCEPTED,2026-06-02,SUCCESS
REC00099,ATMPT00697,CUST0058,,0.05,ALTERNATIVE_PAYMENT,NOT_REQUIRED,,NOT_ATTEMPTED
REC00100,ATMPT00700,CUST0058,,0.07,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00101,ATMPT00711,CUST0059,2026-03-31,0.71,RESCHEDULE,ACCEPTED,2026-03-31,SUCCESS
REC00102,ATMPT00716,CUST0059,,0.09,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00103,ATMPT00726,CUST0061,2026-04-01,0.76,RESCHEDULE,ACCEPTED,2026-04-01,SUCCESS
REC00104,ATMPT00730,CUST0061,2026-05-21,0.71,RETRY_NOW,ACCEPTED,2026-05-21,SUCCESS
REC00105,ATMPT00732,CUST0061,2026-06-21,0.79,RETRY_NOW,ACCEPTED,2026-06-21,SUCCESS
REC00106,ATMPT00748,CUST0062,2026-03-21,0.78,RETRY_NOW,DECLINED,,NOT_ATTEMPTED
REC00107,ATMPT00750,CUST0062,2026-04-21,0.9,RETRY_NOW,ACCEPTED,2026-04-21,SUCCESS
REC00108,ATMPT00756,CUST0063,,0.0,ALTERNATIVE_PAYMENT,NOT_REQUIRED,,NOT_ATTEMPTED
REC00109,ATMPT00763,CUST0063,2026-03-13,0.87,RESCHEDULE,ACCEPTED,2026-03-13,SUCCESS
REC00110,ATMPT00772,CUST0064,,0.11,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00111,ATMPT00787,CUST0065,2026-07-29,0.94,RESCHEDULE,ACCEPTED,2026-07-29,SUCCESS
REC00112,ATMPT00789,CUST0066,2026-04-01,0.8,RESCHEDULE,ACCEPTED,2026-04-01,SUCCESS
REC00113,ATMPT00797,CUST0067,2026-03-27,0.6,RESCHEDULE,ACCEPTED,2026-03-27,SUCCESS
REC00114,ATMPT00804,CUST0067,2026-08-05,0.82,RETRY_NOW,ACCEPTED,2026-08-05,SUCCESS
REC00115,ATMPT00818,CUST0068,2026-03-24,0.8,RETRY_NOW,ACCEPTED,2026-03-24,SUCCESS
REC00116,ATMPT00822,CUST0068,2026-06-24,0.78,RETRY_NOW,ACCEPTED,2026-06-24,SUCCESS
REC00117,ATMPT00826,CUST0069,2026-03-07,0.87,RETRY_NOW,ACCEPTED,2026-03-07,SUCCESS
REC00118,ATMPT00851,CUST0072,,0.02,ALTERNATIVE_PAYMENT,NOT_REQUIRED,,NOT_ATTEMPTED
REC00119,ATMPT00852,CUST0072,2026-03-21,0.68,RETRY_NOW,NO_RESPONSE,,NOT_ATTEMPTED
REC00120,ATMPT00859,CUST0073,,0.05,ALTERNATIVE_PAYMENT,NOT_REQUIRED,,NOT_ATTEMPTED
REC00121,ATMPT00863,CUST0074,2026-06-04,0.81,RETRY_NOW,ACCEPTED,2026-06-04,SUCCESS
REC00122,ATMPT00865,CUST0074,,0.09,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00123,ATMPT00867,CUST0074,,0.1,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00124,ATMPT00871,CUST0074,2026-05-11,0.67,RETRY_NOW,ACCEPTED,2026-05-11,SUCCESS
REC00125,ATMPT00880,CUST0075,,0.05,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00126,ATMPT00883,CUST0076,,0.03,ALTERNATIVE_PAYMENT,NOT_REQUIRED,,NOT_ATTEMPTED
REC00127,ATMPT00891,CUST0077,,0.12,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00128,ATMPT00906,CUST0078,,0.04,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00129,ATMPT00918,CUST0080,,0.08,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00130,ATMPT00923,CUST0080,2026-03-16,0.87,RESCHEDULE,ACCEPTED,2026-03-16,SUCCESS
REC00131,ATMPT00943,CUST0081,2026-03-14,0.77,RETRY_NOW,ACCEPTED,2026-03-14,SUCCESS
REC00132,ATMPT00948,CUST0081,,0.07,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00133,ATMPT00966,CUST0083,2026-06-10,0.73,RETRY_NOW,ACCEPTED,2026-06-10,SUCCESS
REC00134,ATMPT00986,CUST0086,2026-07-02,0.75,RETRY_NOW,ACCEPTED,2026-07-02,SUCCESS
REC00135,ATMPT00991,CUST0087,,0.09,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00136,ATMPT01011,CUST0089,2026-06-15,0.85,RESCHEDULE,ACCEPTED,2026-06-15,SUCCESS
REC00137,ATMPT01022,CUST0090,2026-03-02,0.72,RETRY_NOW,DECLINED,,NOT_ATTEMPTED
REC00138,ATMPT01035,CUST0091,,0.04,ALTERNATIVE_PAYMENT,NOT_REQUIRED,,NOT_ATTEMPTED
REC00139,ATMPT01036,CUST0091,2026-03-17,0.75,RESCHEDULE,ACCEPTED,2026-03-17,SUCCESS
REC00140,ATMPT01042,CUST0091,2026-07-22,0.69,RESCHEDULE,DECLINED,,NOT_ATTEMPTED
REC00141,ATMPT01046,CUST0092,2026-03-28,0.6,RESCHEDULE,ACCEPTED,2026-03-28,SUCCESS
REC00142,ATMPT01054,CUST0093,,0.01,ALTERNATIVE_PAYMENT,NOT_REQUIRED,,NOT_ATTEMPTED
REC00143,ATMPT01055,CUST0094,2026-03-14,0.88,RESCHEDULE,DECLINED,,NOT_ATTEMPTED
REC00144,ATMPT01074,CUST0096,2026-03-17,0.8,RETRY_NOW,DECLINED,,NOT_ATTEMPTED
REC00145,ATMPT01078,CUST0096,2026-05-27,0.81,RESCHEDULE,ACCEPTED,2026-05-27,SUCCESS
REC00146,ATMPT01084,CUST0097,2026-03-28,0.84,RETRY_NOW,ACCEPTED,2026-03-28,SUCCESS
REC00147,ATMPT01090,CUST0097,2026-08-28,0.86,RETRY_NOW,ACCEPTED,2026-08-28,NOT_ATTEMPTED
REC00148,ATMPT01103,CUST0098,2026-03-15,0.86,RESCHEDULE,ACCEPTED,2026-03-15,SUCCESS
REC00149,ATMPT01108,CUST0098,,0.05,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00150,ATMPT01113,CUST0098,2026-04-26,0.79,RETRY_NOW,DECLINED,,NOT_ATTEMPTED
REC00151,ATMPT01119,CUST0098,2026-03-15,0.84,RESCHEDULE,ACCEPTED,2026-03-15,SUCCESS
REC00152,ATMPT01139,CUST0100,,0.04,ALTERNATIVE_PAYMENT,NOT_REQUIRED,,NOT_ATTEMPTED
REC00153,ATMPT01141,CUST0101,,0.12,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00154,ATMPT01145,CUST0101,2026-07-02,0.87,RETRY_NOW,DECLINED,,NOT_ATTEMPTED
REC00155,ATMPT01148,CUST0101,,0.01,ALTERNATIVE_PAYMENT,NOT_REQUIRED,,NOT_ATTEMPTED
REC00156,ATMPT01155,CUST0102,,0.05,ALTERNATIVE_PAYMENT,NOT_REQUIRED,,NOT_ATTEMPTED
REC00157,ATMPT01166,CUST0104,,0.08,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00158,ATMPT01173,CUST0105,2026-07-03,0.86,RETRY_NOW,NO_RESPONSE,,NOT_ATTEMPTED
REC00159,ATMPT01204,CUST0110,2026-08-02,0.78,RESCHEDULE,NO_RESPONSE,,NOT_ATTEMPTED
REC00160,ATMPT01220,CUST0113,2026-03-17,0.68,RESCHEDULE,ACCEPTED,2026-03-17,SUCCESS
REC00161,ATMPT01240,CUST0116,2026-03-22,0.69,RESCHEDULE,ACCEPTED,2026-03-22,SUCCESS
REC00162,ATMPT01244,CUST0116,2026-05-23,0.65,RESCHEDULE,DECLINED,,NOT_ATTEMPTED
REC00163,ATMPT01252,CUST0116,2026-05-23,0.69,RESCHEDULE,NO_RESPONSE,,NOT_ATTEMPTED
REC00164,ATMPT01258,CUST0116,2026-03-22,0.8,RESCHEDULE,ACCEPTED,2026-03-22,SUCCESS
REC00165,ATMPT01261,CUST0116,,0.09,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00166,ATMPT01263,CUST0116,2026-05-23,0.79,RESCHEDULE,ACCEPTED,2026-05-23,SUCCESS
REC00167,ATMPT01268,CUST0116,,0.03,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00168,ATMPT01270,CUST0117,2026-03-21,0.7,RETRY_NOW,DECLINED,,NOT_ATTEMPTED
REC00169,ATMPT01304,CUST0119,2026-06-20,0.69,RETRY_NOW,ACCEPTED,2026-06-20,SUCCESS
REC00170,ATMPT01307,CUST0119,,0.1,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00171,ATMPT01309,CUST0120,,0.02,ALTERNATIVE_PAYMENT,NOT_REQUIRED,,NOT_ATTEMPTED
REC00172,ATMPT01324,CUST0122,,0.11,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00173,ATMPT01326,CUST0122,2026-06-29,0.86,RETRY_NOW,ACCEPTED,2026-06-29,SUCCESS
REC00174,ATMPT01330,CUST0123,2026-04-07,0.71,RETRY_NOW,ACCEPTED,2026-04-07,SUCCESS
REC00175,ATMPT01336,CUST0123,,0.04,ALTERNATIVE_PAYMENT,NOT_REQUIRED,,NOT_ATTEMPTED
REC00176,ATMPT01341,CUST0124,2026-07-14,0.68,RETRY_NOW,DECLINED,,NOT_ATTEMPTED
REC00177,ATMPT01344,CUST0124,,0.07,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00178,ATMPT01349,CUST0124,,0.11,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00179,ATMPT01356,CUST0124,2026-07-04,0.78,RETRY_NOW,ACCEPTED,2026-07-04,SUCCESS
REC00180,ATMPT01365,CUST0126,2026-03-15,0.91,RETRY_NOW,ACCEPTED,2026-03-15,SUCCESS
REC00181,ATMPT01373,CUST0127,2026-05-13,0.54,RESCHEDULE,ACCEPTED,2026-05-13,SUCCESS
REC00182,ATMPT01377,CUST0127,,0.11,ALTERNATIVE_PAYMENT,NOT_REQUIRED,,NOT_ATTEMPTED
REC00183,ATMPT01380,CUST0127,,0.07,ALTERNATIVE_PAYMENT,NOT_REQUIRED,,NOT_ATTEMPTED
REC00184,ATMPT01383,CUST0127,,0.09,ALTERNATIVE_PAYMENT,NOT_REQUIRED,,NOT_ATTEMPTED
REC00185,ATMPT01388,CUST0127,2026-05-13,0.8,RESCHEDULE,ACCEPTED,2026-05-13,SUCCESS
REC00186,ATMPT01395,CUST0127,,0.05,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00187,ATMPT01398,CUST0127,2026-05-13,0.81,RESCHEDULE,DECLINED,,NOT_ATTEMPTED
REC00188,ATMPT01402,CUST0127,,0.08,ALTERNATIVE_PAYMENT,NOT_REQUIRED,,NOT_ATTEMPTED
REC00189,ATMPT01405,CUST0127,,0.1,ALTERNATIVE_PAYMENT,NOT_REQUIRED,,NOT_ATTEMPTED
REC00190,ATMPT01410,CUST0128,2026-05-02,0.88,RETRY_NOW,ACCEPTED,2026-05-02,SUCCESS
REC00191,ATMPT01413,CUST0128,,0.05,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00192,ATMPT01417,CUST0129,2026-04-18,0.91,RETRY_NOW,NO_RESPONSE,,NOT_ATTEMPTED
REC00193,ATMPT01419,CUST0129,2026-05-18,0.67,RETRY_NOW,DECLINED,,NOT_ATTEMPTED
REC00194,ATMPT01424,CUST0130,2026-03-21,0.74,RESCHEDULE,ACCEPTED,2026-03-21,SUCCESS
REC00195,ATMPT01429,CUST0130,2026-07-04,0.57,RESCHEDULE,ACCEPTED,2026-07-04,SUCCESS
REC00196,ATMPT01432,CUST0130,2026-07-08,0.84,RETRY_NOW,ACCEPTED,2026-07-08,SUCCESS
REC00197,ATMPT01434,CUST0130,2026-08-14,0.87,RESCHEDULE,ACCEPTED,2026-08-14,SUCCESS
REC00198,ATMPT01437,CUST0130,2026-03-21,0.72,RESCHEDULE,DECLINED,,NOT_ATTEMPTED
REC00199,ATMPT01444,CUST0130,2026-08-14,0.81,RESCHEDULE,ACCEPTED,2026-08-14,SUCCESS
REC00200,ATMPT01448,CUST0130,2026-04-09,0.92,RETRY_NOW,ACCEPTED,2026-04-09,SUCCESS
REC00201,ATMPT01470,CUST0132,,0.06,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00202,ATMPT01474,CUST0133,2026-04-28,0.76,RETRY_NOW,DECLINED,,NOT_ATTEMPTED
REC00203,ATMPT01509,CUST0136,,0.09,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00204,ATMPT01517,CUST0137,,0.04,ALTERNATIVE_PAYMENT,NOT_REQUIRED,,NOT_ATTEMPTED
REC00205,ATMPT01529,CUST0138,,0.03,ALTERNATIVE_PAYMENT,NOT_REQUIRED,,NOT_ATTEMPTED
REC00206,ATMPT01542,CUST0140,,0.02,ALTERNATIVE_PAYMENT,NOT_REQUIRED,,NOT_ATTEMPTED
REC00207,ATMPT01552,CUST0143,,0.06,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00208,ATMPT01572,CUST0145,2026-07-02,0.67,RETRY_NOW,NO_RESPONSE,,NOT_ATTEMPTED
REC00209,ATMPT01575,CUST0145,2026-03-16,0.89,RESCHEDULE,ACCEPTED,2026-03-16,SUCCESS
REC00210,ATMPT01582,CUST0145,,0.1,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00211,ATMPT01584,CUST0146,,0.04,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00212,ATMPT01589,CUST0146,2026-07-28,0.77,RETRY_NOW,ACCEPTED,2026-07-28,SUCCESS
REC00213,ATMPT01614,CUST0148,2026-07-26,0.82,RETRY_NOW,ACCEPTED,2026-07-26,SUCCESS
REC00214,ATMPT01620,CUST0149,2026-06-15,0.74,RETRY_NOW,DECLINED,,NOT_ATTEMPTED
REC00215,ATMPT01642,CUST_GOLD001,2026-03-02,0.91,RETRY_NOW,NO_RESPONSE,,NOT_ATTEMPTED
REC00216,ATMPT01660,CUST_GOLD003,2026-08-02,0.8,RETRY_NOW,ACCEPTED,2026-08-02,SUCCESS
REC00217,ATMPT01662,CUST_GOLD004,2026-03-07,0.89,RETRY_NOW,ACCEPTED,2026-03-07,SUCCESS
REC00218,ATMPT01676,CUST_GOLD006,2026-04-08,0.84,RETRY_NOW,ACCEPTED,2026-04-08,SUCCESS
REC00219,ATMPT01690,CUST_GOLD008,2026-05-12,0.73,RETRY_NOW,ACCEPTED,2026-05-12,SUCCESS
REC00220,ATMPT01703,CUST_GOLD010,2026-05-27,0.92,RESCHEDULE,ACCEPTED,2026-05-27,SUCCESS
REC00221,ATMPT01705,CUST_GOLD010,2026-06-26,0.9,RETRY_NOW,DECLINED,,NOT_ATTEMPTED
REC00222,ATMPT01716,CUST_GOLD012,2026-03-22,0.7,RESCHEDULE,ACCEPTED,2026-03-22,SUCCESS
REC00223,ATMPT01726,CUST_GOLD013,,0.04,DO_NOT_RETRY,NOT_REQUIRED,,NOT_ATTEMPTED
REC00224,ATMPT01735,CUST_GOLD014,2026-07-12,0.71,RETRY_NOW,DECLINED,,NOT_ATTEMPTED
