consent_id,customer_id,consent_status,data_scope,consent_date,expiry_date
CON_0028,CUST0028,ACTIVE,TRANSACTIONS,2026-02-13,2027-02-13
CON_0029,CUST0029,ACTIVE,TRANSACTIONS,2026-02-26,2027-02-26
CON_0030,CUST0030,ACTIVE,TRANSACTIONS,2026-02-09,2027-02-09
CON_0031,CUST0031,ACTIVE,TRANSACTIONS,2026-01-30,2027-01-30
CON_0032,CUST0032,ACTIVE,TRANSACTIONS,2026-02-23,2027-02-23
CON_0033,CUST0033,REVOKED,TRANSACTIONS,2026-02-04,2027-02-04
CON_0034,CUST0034,ACTIVE,TRANSACTIONS,2026-02-15,2027-02-15
CON_0035,CUST0035,ACTIVE,TRANSACTIONS,2026-02-27,2027-02-27
CON_0036,CUST0036,ACTIVE,TRANSACTIONS,2026-02-28,2027-02-28
CON_0037,CUST0037,ACTIVE,TRANSACTIONS,2026-02-09,2027-02-09
CON_0038,CUST0038,EXPIRED,TRANSACTIONS,2026-02-03,2027-02-03
CON_0039,CUST0039,ACTIVE,TRANSACTIONS,2026-02-09,2027-02-09
CON_0040,CUST0040,ACTIVE,TRANSACTIONS,2026-02-01,2027-02-01
CON_0041,CUST0041,ACTIVE,TRANSACTIONS,2026-02-09,2027-02-09
CON_0042,CUST0042,ACTIVE,TRANSACTIONS,2026-01-31,2027-01-31
CON_0043,CUST0043,ACTIVE,TRANSACTIONS,2026-02-20,2027-02-20
CON_0044,CUST0044,ACTIVE,TRANSACTIONS,2026-02-21,2027-02-21
CON_0045,CUST0045,ACTIVE,TRANSACTIONS,2026-02-14,2027-02-14
CON_0046,CUST0046,ACTIVE,TRANSACTIONS,2026-02-18,2027-02-18
CON_0047,CUST0047,ACTIVE,TRANSACTIONS,2026-02-23,2027-02-23
CON_0048,CUST0048,ACTIVE,TRANSACTIONS,2026-02-12,2027-02-12
CON_0049,CUST0049,EXPIRED,TRANSACTIONS,2026-02-23,2027-02-23
CON_0050,CUST0050,ACTIVE,TRANSACTIONS,2026-02-02,2027-02-02
CON_0051,CUST0051,EXPIRED,TRANSACTIONS,2026-01-30,2027-01-30
CON_0052,CUST0052,ACTIVE,TRANSACTIONS,2026-02-17,2027-02-17
CON_0053,CUST0053,ACTIVE,TRANSACTIONS,2026-02-17,2027-02-17
CON_0054,CUST0054,EXPIRED,TRANSACTIONS,2026-02-09,2027-02-09
CON_0055,CUST0055,ACTIVE,TRANSACTIONS,2026-01-31,2027-01-31
CON_0056,CUST0056,ACTIVE,TRANSACTIONS,2026-02-08,2027-02-08
CON_0057,CUST0057,ACTIVE,TRANSACTIONS,2026-02-27,2027-02-27
CON_0058,CUST0058,ACTIVE,TRANSACTIONS,2026-02-25,2027-02-25
CON_0059,CUST0059,ACTIVE,TRANSACTIONS,2026-02-21,2027-02-21
CON_0060,CUST0060,ACTIVE,TRANSACTIONS,2026-02-09,2027-02-09
CON_0061,CUST0061,ACTIVE,TRANSACTIONS,2026-01-30,2027-01-30
CON_0062,CUST0062,ACTIVE,TRANSACTIONS,2026-01-30,2027-01-30
CON_0063,CUST0063,ACTIVE,TRANSACTIONS,2026-02-23,2027-02-23
CON_0064,CUST0064,ACTIVE,TRANSACTIONS,2026-02-03,2027-02-03
CON_0065,CUST0065,REVOKED,TRANSACTIONS,2026-02-18,2027-02-18
CON_0066,CUST0066,ACTIVE,TRANSACTIONS,2026-02-05,2027-02-05
CON_0067,CUST0067,ACTIVE,TRANSACTIONS,2026-02-11,2027-02-11
CON_0068,CUST0068,ACTIVE,TRANSACTIONS,2026-02-26,2027-02-26
CON_0069,CUST0069,ACTIVE,TRANSACTIONS,2026-02-25,2027-02-25
CON_0070,CUST0070,ACTIVE,TRANSACTIONS,2026-02-02,2027-02-02
CON_0071,CUST0071,ACTIVE,TRANSACTIONS,2026-02-15,2027-02-15
CON_0072,CUST0072,ACTIVE,TRANSACTIONS,2026-02-16,2027-02-16
CON_0073,CUST0073,ACTIVE,TRANSACTIONS,2026-02-03,2027-02-03
CON_0074,CUST0074,ACTIVE,TRANSACTIONS,2026-02-10,2027-02-10
CON_0075,CUST0075,ACTIVE,TRANSACTIONS,2026-02-28,2027-02-28
CON_0076,CUST0076,ACTIVE,TRANSACTIONS,2026-02-09,2027-02-09
CON_0077,CUST0077,ACTIVE,TRANSACTIONS,2026-02-08,2027-02-08
CON_0078,CUST0078,ACTIVE,TRANSACTIONS,2026-02-02,2027-02-02
CON_0079,CUST0079,ACTIVE,TRANSACTIONS,2026-02-27,2027-02-27
CON_0080,CUST0080,ACTIVE,TRANSACTIONS,2026-02-26,2027-02-26
CON_0081,CUST0081,ACTIVE,TRANSACTIONS,2026-02-07,2027-02-07
CON_0082,CUST0082,ACTIVE,TRANSACTIONS,2026-01-30,2027-01-30
CON_0083,CUST0083,ACTIVE,TRANSACTIONS,2026-02-26,2027-02-26
CON_0084,CUST0084,ACTIVE,TRANSACTIONS,2026-02-04,2027-02-04
CON_0085,CUST0085,ACTIVE,TRANSACTIONS,2026-02-24,2027-02-24
CON_0086,CUST0086,ACTIVE,TRANSACTIONS,2026-02-26,2027-02-26
CON_0087,CUST0087,ACTIVE,TRANSACTIONS,2026-02-26,2027-02-26
CON_0088,CUST0088,ACTIVE,TRANSACTIONS,2026-02-04,2027-02-04
CON_0089,CUST0089,ACTIVE,TRANSACTIONS,2026-01-31,2027-01-31
CON_0090,CUST0090,ACTIVE,TRANSACTIONS,2026-02-03,2027-02-03
CON_0091,CUST0091,ACTIVE,TRANSACTIONS,2026-02-10,2027-02-10
CON_0092,CUST0092,ACTIVE,TRANSACTIONS,2026-02-16,2027-02-16
CON_0093,CUST0093,ACTIVE,TRANSACTIONS,2026-02-11,2027-02-11
CON_0094,CUST0094,ACTIVE,TRANSACTIONS,2026-02-14,2027-02-14
CON_0095,CUST0095,ACTIVE,TRANSACTIONS,2026-02-10,2027-02-10
CON_0096,CUST0096,ACTIVE,TRANSACTIONS,2026-02-18,2027-02-18
CON_0097,CUST0097,ACTIVE,TRANSACTIONS,2026-02-27,2027-02-27
CON_0098,CUST0098,ACTIVE,TRANSACTIONS,2026-02-22,2027-02-22
CON_0099,CUST0099,ACTIVE,TRANSACTIONS,2026-02-11,2027-02-11
CON_0100,CUST0100,ACTIVE,TRANSACTIONS,2026-02-05,2027-02-05
CON_0101,CUST0101,ACTIVE,TRANSACTIONS,2026-01-30,2027-01-30
CON_0102,CUST0102,ACTIVE,TRANSACTIONS,2026-02-23,2027-02-23
CON_0103,CUST0103,ACTIVE,TRANSACTIONS,2026-02-20,2027-02-20
CON_0104,CUST0104,ACTIVE,TRANSACTIONS,2026-02-22,2027-02-22
CON_0105,CUST0105,ACTIVE,TRANSACTIONS,2026-02-04,2027-02-04
CON_0106,CUST0106,ACTIVE,TRANSACTIONS,2026-02-18,2027-02-18
CON_0107,CUST0107,ACTIVE,TRANSACTIONS,2026-02-15,2027-02-15
CON_0108,CUST0108,ACTIVE,TRANSACTIONS,2026-02-22,2027-02-22
CON_0109,CUST0109,ACTIVE,TRANSACTIONS,2026-02-06,2027-02-06
CON_0110,CUST0110,ACTIVE,TRANSACTIONS,2026-02-10,2027-02-10
CON_0111,CUST0111,ACTIVE,TRANSACTIONS,2026-02-25,2027-02-25
CON_0112,CUST0112,ACTIVE,TRANSACTIONS,2026-02-16,2027-02-16
CON_0113,CUST0113,ACTIVE,TRANSACTIONS,2026-02-05,2027-02-05
CON_0114,CUST0114,ACTIVE,TRANSACTIONS,2026-02-16,2027-02-16
CON_0115,CUST0115,ACTIVE,TRANSACTIONS,2026-02-23,2027-02-23
CON_0116,CUST0116,ACTIVE,TRANSACTIONS,2026-02-27,2027-02-27
CON_0117,CUST0117,ACTIVE,TRANSACTIONS,2026-02-27,2027-02-27
CON_0118,CUST0118,ACTIVE,TRANSACTIONS,2026-02-25,2027-02-25
CON_0119,CUST0119,ACTIVE,TRANSACTIONS,2026-02-12,2027-02-12
CON_0120,CUST0120,EXPIRED,TRANSACTIONS,2026-02-20,2027-02-20
CON_0121,CUST0121,ACTIVE,TRANSACTIONS,2026-02-21,2027-02-21
CON_0122,CUST0122,ACTIVE,TRANSACTIONS,2026-02-25,2027-02-25
CON_0123,CUST0123,ACTIVE,TRANSACTIONS,2026-02-21,2027-02-21
CON_0124,CUST0124,ACTIVE,TRANSACTIONS,2026-02-21,2027-02-21
CON_0125,CUST0125,ACTIVE,TRANSACTIONS,2026-02-24,2027-02-24
CON_0126,CUST0126,ACTIVE,TRANSACTIONS,2026-02-18,2027-02-18
CON_0127,CUST0127,ACTIVE,TRANSACTIONS,2026-02-02,2027-02-02
CON_0128,CUST0128,ACTIVE,TRANSACTIONS,2026-02-27,2027-02-27
CON_0129,CUST0129,EXPIRED,TRANSACTIONS,2026-02-24,2027-02-24
CON_0130,CUST0130,REVOKED,TRANSACTIONS,2026-03-01,2027-03-01
CON_0131,CUST0131,ACTIVE,TRANSACTIONS,2026-02-21,2027-02-21
CON_0132,CUST0132,ACTIVE,TRANSACTIONS,2026-02-26,2027-02-26
CON_0133,CUST0133,ACTIVE,TRANSACTIONS,2026-02-13,2027-02-13
CON_0134,CUST0134,ACTIVE,TRANSACTIONS,2026-02-10,2027-02-10
CON_0135,CUST0135,ACTIVE,TRANSACTIONS,2026-02-07,2027-02-07
CON_0136,CUST0136,ACTIVE,TRANSACTIONS,2026-02-03,2027-02-03
CON_0137,CUST0137,ACTIVE,TRANSACTIONS,2026-02-25,2027-02-25
CON_0138,CUST0138,ACTIVE,TRANSACTIONS,2026-02-01,2027-02-01
CON_0139,CUST0139,ACTIVE,TRANSACTIONS,2026-02-23,2027-02-23
CON_0140,CUST0140,ACTIVE,TRANSACTIONS,2026-02-05,2027-02-05
CON_0141,CUST0141,ACTIVE,TRANSACTIONS,2026-02-11,2027-02-11
CON_0142,CUST0142,ACTIVE,TRANSACTIONS,2026-02-01,2027-02-01
CON_0143,CUST0143,ACTIVE,TRANSACTIONS,2026-02-16,2027-02-16
CON_0144,CUST0144,ACTIVE,TRANSACTIONS,2026-02-02,2027-02-02
CON_0145,CUST0145,ACTIVE,TRANSACTIONS,2026-03-01,2027-03-01
CON_0146,CUST0146,ACTIVE,TRANSACTIONS,2026-02-02,2027-02-02
CON_0147,CUST0147,ACTIVE,TRANSACTIONS,2026-02-05,2027-02-05
CON_0148,CUST0148,ACTIVE,TRANSACTIONS,2026-02-11,2027-02-11
CON_0149,CUST0149,ACTIVE,TRANSACTIONS,2026-01-31,2027-01-31
CON_0150,CUST0150,ACTIVE,TRANSACTIONS,2026-02-16,2027-02-16
CON_0151,CUST_GOLD001,ACTIVE,TRANSACTIONS,2026-02-15,2027-02-15
CON_0152,CUST_GOLD002,ACTIVE,TRANSACTIONS,2026-02-14,2027-02-14
CON_0153,CUST_GOLD003,ACTIVE,TRANSACTIONS,2026-01-30,2027-01-30
CON_0154,CUST_GOLD004,ACTIVE,TRANSACTIONS,2026-02-27,2027-02-27
CON_0155,CUST_GOLD005,ACTIVE,TRANSACTIONS,2026-02-21,2027-02-21
CON_0156,CUST_GOLD006,ACTIVE,TRANSACTIONS,2026-02-01,2027-02-01
CON_0157,CUST_GOLD007,EXPIRED,TRANSACTIONS,2026-02-15,2027-02-15
CON_0158,CUST_GOLD008,REVOKED,TRANSACTIONS,2026-02-20,2027-02-20
CON_0159,CUST_GOLD009,ACTIVE,TRANSACTIONS,2026-02-28,2027-02-28
CON_0160,CUST_GOLD010,ACTIVE,TRANSACTIONS,2026-02-19,2027-02-19
CON_0161,CUST_GOLD011,ACTIVE,TRANSACTIONS,2026-02-22,2027-02-22
CON_0162,CUST_GOLD012,ACTIVE,TRANSACTIONS,2026-01-30,2027-01-30
CON_0163,CUST_GOLD013,ACTIVE,TRANSACTIONS,2026-02-25,2027-02-25
CON_0164,CUST_GOLD014,ACTIVE,TRANSACTIONS,2026-02-03,2027-02-03
CON_0165,CUST_GOLD015,ACTIVE,TRANSACTIONS,2026-02-11,2027-02-11
CON_0166,CUST_GOLD016,REVOKED,TRANSACTIONS,2026-02-22,2027-02-22
CON_0167,CUST_GOLD017,ACTIVE,TRANSACTIONS,2026-02-24,2027-02-24
CON_0168,CUST_GOLD018,ACTIVE,TRANSACTIONS,2026-02-20,2027-02-20
