customer_id,behavior_type,scenario_tag,avg_monthly_income,income_day_of_month,avg_balance_low,avg_balance_high,account_age_months
CUST0122,MID_MONTH_SALARIED,,27537,15,1376,8261,16
CUST0123,EARLY_MONTH_SALARIED,,85191,2,4259,25557,24
CUST0124,MID_MONTH_SALARIED,,77123,14,3856,23136,16
CUST0125,EARLY_MONTH_SALARIED,,37656,2,1882,11296,23
CUST0126,MID_MONTH_SALARIED,,29549,15,1477,8864,24
CUST0127,BUSINESS_OWNER,,82386,,1647,16477,45
CUST0128,RECOVERABLE_PATTERN,,60141,2,3007,18042,3
CUST0129,EARLY_MONTH_SALARIED,,88596,2,4429,26578,13
CUST0130,FREELANCER_IRREGULAR,,23698,,473,4739,4
CUST0131,EARLY_MONTH_SALARIED,,53479,2,2673,16043,48
CUST0132,HIGH_SPENDER,,53599,3,535,5359,34
CUST0133,EARLY_MONTH_SALARIED,,83949,3,4197,25184,14
CUST0134,EARLY_MONTH_SALARIED,,71450,2,3572,21435,2
CUST0135,FREELANCER_IRREGULAR,,41427,,828,8285,36
CUST0136,HIGH_SPENDER,,86621,3,866,8662,44
CUST0137,EARLY_MONTH_SALARIED,,53265,1,2663,15979,44
CUST0138,RECOVERABLE_PATTERN,,65839,2,3291,19751,44
CUST0139,HIGH_MANDATE_RATIO,,72169,2,3608,21650,34
CUST0140,MID_MONTH_SALARIED,,51764,15,2588,15529,27
CUST0141,HIGH_SPENDER,,61333,1,613,6133,14
CUST0142,MID_MONTH_SALARIED,,86627,15,4331,25988,45
CUST0143,HIGH_SPENDER,,36405,3,364,3640,38
CUST0144,MID_MONTH_SALARIED,,60909,14,3045,18272,21
CUST0145,MID_MONTH_SALARIED,,53173,16,2658,15951,40
CUST0146,BUSINESS_OWNER,,90946,,1818,18189,30
CUST0147,MID_MONTH_SALARIED,,39005,16,1950,11701,32
CUST0148,HIGH_SPENDER,,87903,3,879,8790,12
CUST0149,BUSINESS_OWNER,,67196,,1343,13439,34
CUST0150,BUSINESS_OWNER,,111167,,2223,22233,23
CUST_GOLD001,RECOVERABLE_PATTERN,GOLDEN_SALARY_TIMING_MISMATCH,31120,1,1556,9336,45
CUST_GOLD002,RECOVERABLE_PATTERN,GOLDEN_SALARY_TIMING_MISMATCH,45343,1,2267,13602,14
CUST_GOLD003,RECOVERABLE_PATTERN,GOLDEN_SALARY_TIMING_MISMATCH,34656,1,1732,10396,4
CUST_GOLD004,EARLY_MONTH_SALARIED,GOLDEN_EARLY_MONTH_SALARY,41046,2,2052,12313,41
CUST_GOLD005,EARLY_MONTH_SALARIED,GOLDEN_EARLY_MONTH_SALARY,80688,1,4034,24206,31
CUST_GOLD006,EARLY_MONTH_SALARIED,GOLDEN_EARLY_MONTH_SALARY,52160,3,2608,15648,38
CUST_GOLD007,HIGH_SPENDER,GOLDEN_HIGH_SPENDER,37742,3,377,3774,46
CUST_GOLD008,HIGH_SPENDER,GOLDEN_HIGH_SPENDER,50164,2,501,5016,27
CUST_GOLD009,HIGH_SPENDER,GOLDEN_HIGH_SPENDER,40989,1,409,4098,43
CUST_GOLD010,FREELANCER_IRREGULAR,GOLDEN_IRREGULAR_INCOME,37532,,750,7506,2
CUST_GOLD011,FREELANCER_IRREGULAR,GOLDEN_IRREGULAR_INCOME,43194,,863,8638,8
CUST_GOLD012,FREELANCER_IRREGULAR,GOLDEN_IRREGULAR_INCOME,28931,,578,5786,16
CUST_GOLD013,HIGH_MANDATE_RATIO,GOLDEN_HIGH_MANDATE_RATIO,77698,3,3884,23309,35
CUST_GOLD014,HIGH_MANDATE_RATIO,GOLDEN_HIGH_MANDATE_RATIO,61530,1,3076,18459,9
CUST_GOLD015,HIGH_MANDATE_RATIO,GOLDEN_HIGH_MANDATE_RATIO,77521,2,3876,23256,44
CUST_GOLD016,EARLY_MONTH_SALARIED,GOLDEN_MANDATE_REVOKED,61629,3,3081,18488,22
CUST_GOLD017,EARLY_MONTH_SALARIED,GOLDEN_MANDATE_REVOKED,87261,2,4363,26178,41
CUST_GOLD018,EARLY_MONTH_SALARIED,GOLDEN_MANDATE_REVOKED,78412,3,3920,23523,34
