attempt_id,mandate_id,customer_id,merchant_name,scheduled_date,attempt_date,attempt_number,amount_required,balance_at_attempt,status,failure_reason,ground_truth_retry_date,ground_truth_recoverable
ATMPT00038,MNDT00007,CUST0005,Netflix,2026-06-04,2026-06-04,1,199,90846,SUCCESS,,,FALSE
ATMPT00039,MNDT00007,CUST0005,Netflix,2026-07-04,2026-07-04,1,199,108001,SUCCESS,,,FALSE
ATMPT00040,MNDT00007,CUST0005,Netflix,2026-08-04,2026-08-04,1,199,120230,SUCCESS,,,FALSE
ATMPT00041,MNDT00008,CUST0006,Bike Loan EMI,2026-03-04,2026-03-04,1,3200,43406,SUCCESS,,,FALSE
ATMPT00042,MNDT00008,CUST0006,Bike Loan EMI,2026-04-04,2026-04-04,1,3200,59124,SUCCESS,,,FALSE
ATMPT00043,MNDT00008,CUST0006,Bike Loan EMI,2026-05-04,2026-05-04,1,3200,86513,SUCCESS,,,FALSE
ATMPT00044,MNDT00008,CUST0006,Bike Loan EMI,2026-06-04,2026-06-04,1,3200,111976,FAILED,BANK_DECLINED,2026-06-05,TRUE
ATMPT00045,MNDT00008,CUST0006,Bike Loan EMI,2026-06-04,2026-06-06,2,3200,111976,SUCCESS,,,
ATMPT00046,MNDT00008,CUST0006,Bike Loan EMI,2026-07-04,2026-07-04,1,3200,126358,SUCCESS,,,FALSE
ATMPT00047,MNDT00008,CUST0006,Bike Loan EMI,2026-08-04,2026-08-04,1,3200,143151,SUCCESS,,,FALSE
ATMPT00048,MNDT00009,CUST0007,Personal Loan EMI,2026-03-01,2026-03-01,1,8500,54799,SUCCESS,,,FALSE
ATMPT00049,MNDT00009,CUST0007,Personal Loan EMI,2026-04-01,2026-04-01,1,8500,65267,SUCCESS,,,FALSE
ATMPT00050,MNDT00009,CUST0007,Personal Loan EMI,2026-05-01,2026-05-01,1,8500,76547,FAILED,BANK_DECLINED,2026-05-02,TRUE
ATMPT00051,MNDT00009,CUST0007,Personal Loan EMI,2026-05-01,2026-05-03,2,8500,72195,SUCCESS,,,
ATMPT00052,MNDT00009,CUST0007,Personal Loan EMI,2026-06-01,2026-06-01,1,8500,89062,SUCCESS,,,FALSE
ATMPT00053,MNDT00009,CUST0007,Personal Loan EMI,2026-07-01,2026-07-01,1,8500,112030,SUCCESS,,,FALSE
ATMPT00054,MNDT00009,CUST0007,Personal Loan EMI,2026-08-01,2026-08-01,1,8500,128307,SUCCESS,,,FALSE
ATMPT00055,MNDT00010,CUST0007,SIP - Mutual Fund,2026-03-12,2026-03-12,1,5000,41052,SUCCESS,,,FALSE
ATMPT00056,MNDT00010,CUST0007,SIP - Mutual Fund,2026-04-12,2026-04-12,1,5000,40824,SUCCESS,,,FALSE
ATMPT00057,MNDT00010,CUST0007,SIP - Mutual Fund,2026-05-12,2026-05-12,1,5000,55827,SUCCESS,,,FALSE
ATMPT00058,MNDT00010,CUST0007,SIP - Mutual Fund,2026-06-12,2026-06-12,1,5000,79131,SUCCESS,,,FALSE
ATMPT00059,MNDT00010,CUST0007,SIP - Mutual Fund,2026-07-12,2026-07-12,1,5000,84489,SUCCESS,,,FALSE
ATMPT00060,MNDT00010,CUST0007,SIP - Mutual Fund,2026-08-12,2026-08-12,1,5000,117147,SUCCESS,,,FALSE
ATMPT00061,MNDT00011,CUST0007,Jio Fiber,2026-03-11,2026-03-11,1,999,41052,SUCCESS,,,FALSE
ATMPT00062,MNDT00011,CUST0007,Jio Fiber,2026-04-11,2026-04-11,1,999,44589,SUCCESS,,,FALSE
ATMPT00063,MNDT00011,CUST0007,Jio Fiber,2026-05-11,2026-05-11,1,999,57680,SUCCESS,,,FALSE
ATMPT00064,MNDT00011,CUST0007,Jio Fiber,2026-06-11,2026-06-11,1,999,79131,SUCCESS,,,FALSE
ATMPT00065,MNDT00011,CUST0007,Jio Fiber,2026-07-11,2026-07-11,1,999,84489,FAILED,BANK_DECLINED,2026-07-12,TRUE
ATMPT00066,MNDT00011,CUST0007,Jio Fiber,2026-07-11,2026-07-13,2,999,84489,SUCCESS,,,
ATMPT00067,MNDT00011,CUST0007,Jio Fiber,2026-08-11,2026-08-11,1,999,117898,SUCCESS,,,FALSE
ATMPT00068,MNDT00012,CUST0008,Zomato Gold,2026-03-08,2026-03-08,1,299,2080,SUCCESS,,,FALSE
ATMPT00069,MNDT00012,CUST0008,Zomato Gold,2026-04-08,2026-04-08,1,299,1523,SUCCESS,,,FALSE
ATMPT00070,MNDT00012,CUST0008,Zomato Gold,2026-05-08,2026-05-08,1,299,3522,SUCCESS,,,FALSE
ATMPT00071,MNDT00012,CUST0008,Zomato Gold,2026-06-08,2026-06-08,1,299,7208,SUCCESS,,,FALSE
ATMPT00072,MNDT00012,CUST0008,Zomato Gold,2026-07-08,2026-07-08,1,299,12702,SUCCESS,,,FALSE
ATMPT00073,MNDT00012,CUST0008,Zomato Gold,2026-08-08,2026-08-08,1,299,47644,SUCCESS,,,FALSE
ATMPT00074,MNDT00014,CUST0009,Jio Fiber,2026-03-13,2026-03-13,1,999,22281,FAILED,BANK_DECLINED,2026-03-14,TRUE
ATMPT00075,MNDT00014,CUST0009,Jio Fiber,2026-03-13,2026-03-15,2,999,18841,SUCCESS,,,
ATMPT00076,MNDT00014,CUST0009,Jio Fiber,2026-04-13,2026-04-13,1,999,28331,SUCCESS,,,FALSE
ATMPT00077,MNDT00014,CUST0009,Jio Fiber,2026-05-13,2026-05-13,1,999,35810,SUCCESS,,,FALSE
ATMPT00078,MNDT00014,CUST0009,Jio Fiber,2026-06-13,2026-06-13,1,999,31129,SUCCESS,,,FALSE
ATMPT00079,MNDT00014,CUST0009,Jio Fiber,2026-07-13,2026-07-13,1,999,16878,SUCCESS,,,FALSE
ATMPT00080,MNDT00014,CUST0009,Jio Fiber,2026-08-13,2026-08-13,1,999,23316,SUCCESS,,,FALSE
ATMPT00081,MNDT00015,CUST0010,Jio Fiber,2026-03-04,2026-03-04,1,999,1575,FAILED,BANK_DECLINED,2026-03-05,TRUE
ATMPT00082,MNDT00015,CUST0010,Jio Fiber,2026-03-04,2026-03-06,2,999,1575,SUCCESS,,,
ATMPT00083,MNDT00015,CUST0010,Jio Fiber,2026-04-04,2026-04-04,1,999,17849,SUCCESS,,,FALSE
ATMPT00084,MNDT00015,CUST0010,Jio Fiber,2026-05-04,2026-05-04,1,999,25296,SUCCESS,,,FALSE
ATMPT00085,MNDT00015,CUST0010,Jio Fiber,2026-06-04,2026-06-04,1,999,31754,SUCCESS,,,FALSE
ATMPT00086,MNDT00015,CUST0010,Jio Fiber,2026-07-04,2026-07-04,1,999,47412,SUCCESS,,,FALSE
ATMPT00087,MNDT00015,CUST0010,Jio Fiber,2026-08-04,2026-08-04,1,999,61748,SUCCESS,,,FALSE
ATMPT00088,MNDT00016,CUST0011,Netflix,2026-03-16,2026-03-16,1,199,47978,SUCCESS,,,FALSE
ATMPT00089,MNDT00016,CUST0011,Netflix,2026-04-16,2026-04-16,1,199,79001,SUCCESS,,,FALSE
ATMPT00090,MNDT00016,CUST0011,Netflix,2026-05-16,2026-05-16,1,199,102532,SUCCESS,,,FALSE
ATMPT00091,MNDT00016,CUST0011,Netflix,2026-06-16,2026-06-16,1,199,125220,SUCCESS,,,FALSE
ATMPT00092,MNDT00016,CUST0011,Netflix,2026-07-16,2026-07-16,1,199,155608,SUCCESS,,,FALSE
ATMPT00093,MNDT00016,CUST0011,Netflix,2026-08-16,2026-08-16,1,199,181201,SUCCESS,,,FALSE
ATMPT00094,MNDT00017,CUST0012,LIC Premium,2026-03-14,2026-03-14,1,41860,64953,SUCCESS,,,FALSE
ATMPT00095,MNDT00017,CUST0012,LIC Premium,2026-04-14,2026-04-14,1,41860,112730,SUCCESS,,,FALSE
ATMPT00096,MNDT00017,CUST0012,LIC Premium,2026-05-14,2026-05-14,1,41860,156135,SUCCESS,,,FALSE
ATMPT00097,MNDT00017,CUST0012,LIC Premium,2026-06-14,2026-06-14,1,41860,205453,SUCCESS,,,FALSE
ATMPT00098,MNDT00017,CUST0012,LIC Premium,2026-07-14,2026-07-14,1,41860,244266,SUCCESS,,,FALSE
ATMPT00099,MNDT00017,CUST0012,LIC Premium,2026-08-14,2026-08-14,1,41860,286554,SUCCESS,,,FALSE
ATMPT00100,MNDT00018,CUST0012,Spotify Premium,2026-03-03,2026-03-03,1,119,71363,SUCCESS,,,FALSE
ATMPT00101,MNDT00018,CUST0012,Spotify Premium,2026-04-03,2026-04-03,1,119,125533,SUCCESS,,,FALSE
ATMPT00102,MNDT00018,CUST0012,Spotify Premium,2026-05-03,2026-05-03,1,119,167129,SUCCESS,,,FALSE
ATMPT00103,MNDT00018,CUST0012,Spotify Premium,2026-06-03,2026-06-03,1,119,208534,SUCCESS,,,FALSE
ATMPT00104,MNDT00018,CUST0012,Spotify Premium,2026-07-03,2026-07-03,1,119,252449,SUCCESS,,,FALSE
ATMPT00105,MNDT00018,CUST0012,Spotify Premium,2026-08-03,2026-08-03,1,119,299821,SUCCESS,,,FALSE
ATMPT00106,MNDT00019,CUST0012,Cult.fit Gym,2026-03-05,2026-03-05,1,1499,71363,SUCCESS,,,FALSE
ATMPT00107,MNDT00019,CUST0012,Cult.fit Gym,2026-04-05,2026-04-05,1,1499,116586,SUCCESS,,,FALSE
ATMPT00108,MNDT00019,CUST0012,Cult.fit Gym,2026-05-05,2026-05-05,1,1499,160884,SUCCESS,,,FALSE
ATMPT00109,MNDT00019,CUST0012,Cult.fit Gym,2026-06-05,2026-06-05,1,1499,207562,SUCCESS,,,FALSE
ATMPT00110,MNDT00019,CUST0012,Cult.fit Gym,2026-07-05,2026-07-05,1,1499,245681,SUCCESS,,,FALSE
ATMPT00111,MNDT00019,CUST0012,Cult.fit Gym,2026-08-05,2026-08-05,1,1499,290952,SUCCESS,,,FALSE
ATMPT00112,MNDT00020,CUST0013,Bike Loan EMI,2026-03-26,2026-03-26,1,3200,27473,SUCCESS,,,FALSE
ATMPT00113,MNDT00020,CUST0013,Bike Loan EMI,2026-04-26,2026-04-26,1,3200,56841,SUCCESS,,,FALSE
ATMPT00114,MNDT00020,CUST0013,Bike Loan EMI,2026-05-26,2026-05-26,1,3200,78697,SUCCESS,,,FALSE
ATMPT00115,MNDT00020,CUST0013,Bike Loan EMI,2026-06-26,2026-06-26,1,3200,106811,SUCCESS,,,FALSE
ATMPT00116,MNDT00020,CUST0013,Bike Loan EMI,2026-07-26,2026-07-26,1,3200,136622,SUCCESS,,,FALSE
ATMPT00117,MNDT00020,CUST0013,Bike Loan EMI,2026-08-26,2026-08-26,1,3200,159602,SUCCESS,,,FALSE
ATMPT00118,MNDT00021,CUST0014,Netflix,2026-03-16,2026-03-16,1,199,38792,SUCCESS,,,FALSE
ATMPT00119,MNDT00021,CUST0014,Netflix,2026-04-16,2026-04-16,1,199,67252,SUCCESS,,,FALSE
ATMPT00120,MNDT00021,CUST0014,Netflix,2026-05-16,2026-05-16,1,199,92073,SUCCESS,,,FALSE
ATMPT00121,MNDT00021,CUST0014,Netflix,2026-06-16,2026-06-16,1,199,117060,SUCCESS,,,FALSE
ATMPT00122,MNDT00021,CUST0014,Netflix,2026-07-16,2026-07-16,1,199,129468,SUCCESS,,,FALSE
ATMPT00123,MNDT00021,CUST0014,Netflix,2026-08-16,2026-08-16,1,199,160933,SUCCESS,,,FALSE
ATMPT00124,MNDT00022,CUST0015,Jio Fiber,2026-03-23,2026-03-23,1,25573,43768,SUCCESS,,,FALSE
ATMPT00125,MNDT00022,CUST0015,Jio Fiber,2026-04-23,2026-04-23,1,25573,70219,SUCCESS,,,FALSE
ATMPT00126,MNDT00022,CUST0015,Jio Fiber,2026-05-23,2026-05-23,1,25573,91123,SUCCESS,,,FALSE
ATMPT00127,MNDT00022,CUST0015,Jio Fiber,2026-06-23,2026-06-23,1,25573,111126,SUCCESS,,,FALSE
ATMPT00128,MNDT00022,CUST0015,Jio Fiber,2026-07-23,2026-07-23,1,25573,135300,SUCCESS,,,FALSE
ATMPT00129,MNDT00022,CUST0015,Jio Fiber,2026-08-23,2026-08-23,1,25573,160328,SUCCESS,,,FALSE
ATMPT00130,MNDT00023,CUST0015,Bike Loan EMI,2026-03-15,2026-03-15,1,3200,54484,SUCCESS,,,FALSE
ATMPT00131,MNDT00023,CUST0015,Bike Loan EMI,2026-04-15,2026-04-15,1,3200,79322,SUCCESS,,,FALSE
ATMPT00132,MNDT00023,CUST0015,Bike Loan EMI,2026-05-15,2026-05-15,1,3200,100779,FAILED,TECHNICAL_FAILURE,2026-05-16,TRUE
ATMPT00133,MNDT00023,CUST0015,Bike Loan EMI,2026-05-15,2026-05-17,2,3200,98808,SUCCESS,,,
ATMPT00134,MNDT00023,CUST0015,Bike Loan EMI,2026-06-15,2026-06-15,1,3200,129512,SUCCESS,,,FALSE
ATMPT00135,MNDT00023,CUST0015,Bike Loan EMI,2026-07-15,2026-07-15,1,3200,136427,SUCCESS,,,FALSE
ATMPT00136,MNDT00023,CUST0015,Bike Loan EMI,2026-08-15,2026-08-15,1,3200,166152,SUCCESS,,,FALSE
ATMPT00137,MNDT00024,CUST0016,Personal Loan EMI,2026-03-12,2026-03-12,1,8500,15201,SUCCESS,,,FALSE
ATMPT00138,MNDT00024,CUST0016,Personal Loan EMI,2026-04-12,2026-04-12,1,8500,4400,FAILED,INSUFFICIENT_BALANCE,2026-05-03,TRUE
ATMPT00139,MNDT00024,CUST0016,Personal Loan EMI,2026-04-12,2026-04-14,2,8500,2818,FAILED,INSUFFICIENT_BALANCE,,
ATMPT00140,MNDT00024,CUST0016,Personal Loan EMI,2026-04-12,2026-04-16,3,8500,1830,FAILED,INSUFFICIENT_BALANCE,,
ATMPT00141,MNDT00024,CUST0016,Personal Loan EMI,2026-05-12,2026-05-12,1,8500,2605,FAILED,INSUFFICIENT_BALANCE,2026-06-03,TRUE
ATMPT00142,MNDT00024,CUST0016,Personal Loan EMI,2026-05-12,2026-05-14,2,8500,1607,FAILED,INSUFFICIENT_BALANCE,,
ATMPT00143,MNDT00024,CUST0016,Personal Loan EMI,2026-05-12,2026-05-16,3,8500,991,FAILED,INSUFFICIENT_BALANCE,,
ATMPT00144,MNDT00024,CUST0016,Personal Loan EMI,2026-06-12,2026-06-12,1,8500,9254,SUCCESS,,,FALSE
ATMPT00145,MNDT00024,CUST0016,Personal Loan EMI,2026-07-12,2026-07-12,1,8500,17582,SUCCESS,,,FALSE
ATMPT00146,MNDT00024,CUST0016,Personal Loan EMI,2026-08-12,2026-08-12,1,8500,1021,FAILED,ACCOUNT_ISSUE,,FALSE
ATMPT00147,MNDT00024,CUST0016,Personal Loan EMI,2026-08-12,2026-08-14,2,8500,1021,FAILED,INSUFFICIENT_BALANCE,,
ATMPT00148,MNDT00024,CUST0016,Personal Loan EMI,2026-08-12,2026-08-16,3,8500,1021,FAILED,INSUFFICIENT_BALANCE,,
ATMPT00149,MNDT00025,CUST0016,Jio Fiber,2026-03-01,2026-03-01,1,999,473,FAILED,INSUFFICIENT_BALANCE,2026-03-03,TRUE
ATMPT00150,MNDT00025,CUST0016,Jio Fiber,2026-03-01,2026-03-03,2,999,27462,SUCCESS,,,
ATMPT00151,MNDT00025,CUST0016,Jio Fiber,2026-04-01,2026-04-01,1,999,233,FAILED,INSUFFICIENT_BALANCE,2026-04-03,TRUE
ATMPT00152,MNDT00025,CUST0016,Jio Fiber,2026-04-01,2026-04-03,2,999,25783,SUCCESS,,,
ATMPT00153,MNDT00025,CUST0016,Jio Fiber,2026-05-01,2026-05-01,1,999,245,FAILED,INSUFFICIENT_BALANCE,2026-05-03,TRUE
ATMPT00154,MNDT00025,CUST0016,Jio Fiber,2026-05-01,2026-05-03,2,999,27982,SUCCESS,,,
ATMPT00155,MNDT00025,CUST0016,Jio Fiber,2026-06-01,2026-06-01,1,999,199,FAILED,INSUFFICIENT_BALANCE,2026-06-03,TRUE
ATMPT00156,MNDT00025,CUST0016,Jio Fiber,2026-06-01,2026-06-03,2,999,23950,SUCCESS,,,
ATMPT00157,MNDT00025,CUST0016,Jio Fiber,2026-07-01,2026-07-01,1,999,1834,SUCCESS,,,FALSE
ATMPT00158,MNDT00025,CUST0016,Jio Fiber,2026-08-01,2026-08-01,1,999,27,FAILED,INSUFFICIENT_BALANCE,2026-08-03,TRUE
ATMPT00159,MNDT00025,CUST0016,Jio Fiber,2026-08-01,2026-08-03,2,999,25041,SUCCESS,,,
ATMPT00160,MNDT00026,CUST0016,Cult.fit Gym,2026-03-20,2026-03-20,1,1499,4684,SUCCESS,,,FALSE
ATMPT00161,MNDT00026,CUST0016,Cult.fit Gym,2026-04-20,2026-04-20,1,1499,1830,SUCCESS,,,FALSE
ATMPT00162,MNDT00026,CUST0016,Cult.fit Gym,2026-05-20,2026-05-20,1,1499,991,FAILED,INSUFFICIENT_BALANCE,2026-06-03,TRUE
ATMPT00163,MNDT00026,CUST0016,Cult.fit Gym,2026-05-20,2026-05-22,2,1499,991,FAILED,INSUFFICIENT_BALANCE,,
ATMPT00164,MNDT00026,CUST0016,Cult.fit Gym,2026-05-20,2026-05-24,3,1499,991,FAILED,INSUFFICIENT_BALANCE,,
ATMPT00165,MNDT00026,CUST0016,Cult.fit Gym,2026-06-20,2026-06-20,1,1499,2353,FAILED,ACCOUNT_ISSUE,,FALSE
ATMPT00166,MNDT00026,CUST0016,Cult.fit Gym,2026-06-20,2026-06-22,2,1499,2353,SUCCESS,,,
ATMPT00167,MNDT00026,CUST0016,Cult.fit Gym,2026-07-20,2026-07-20,1,1499,3217,SUCCESS,,,FALSE
ATMPT00168,MNDT00026,CUST0016,Cult.fit Gym,2026-08-20,2026-08-20,1,1499,1021,FAILED,ACCOUNT_ISSUE,,FALSE
ATMPT00169,MNDT00026,CUST0016,Cult.fit Gym,2026-08-20,2026-08-22,2,1499,1021,FAILED,INSUFFICIENT_BALANCE,,
ATMPT00170,MNDT00026,CUST0016,Cult.fit Gym,2026-08-20,2026-08-24,3,1499,1021,FAILED,INSUFFICIENT_BALANCE,,
ATMPT00171,MNDT00027,CUST0017,Bike Loan EMI,2026-03-15,2026-03-15,1,3200,70631,SUCCESS,,,FALSE
ATMPT00172,MNDT00027,CUST0017,Bike Loan EMI,2026-04-15,2026-04-15,1,3200,106709,SUCCESS,,,FALSE
ATMPT00173,MNDT00027,CUST0017,Bike Loan EMI,2026-05-15,2026-05-15,1,3200,143509,SUCCESS,,,FALSE
ATMPT00174,MNDT00027,CUST0017,Bike Loan EMI,2026-06-15,2026-06-15,1,3200,197974,SUCCESS,,,FALSE
ATMPT00175,MNDT00027,CUST0017,Bike Loan EMI,2026-07-15,2026-07-15,1,3200,253634,SUCCESS,,,FALSE
ATMPT00176,MNDT00027,CUST0017,Bike Loan EMI,2026-08-15,2026-08-15,1,3200,318006,SUCCESS,,,FALSE
ATMPT00177,MNDT00028,CUST0017,Spotify Premium,2026-03-21,2026-03-21,1,119,61776,SUCCESS,,,FALSE
ATMPT00178,MNDT00028,CUST0017,Spotify Premium,2026-04-21,2026-04-21,1,119,90979,FAILED,TECHNICAL_FAILURE,2026-04-22,TRUE
ATMPT00179,MNDT00028,CUST0017,Spotify Premium,2026-04-21,2026-04-23,2,119,88008,SUCCESS,,,
ATMPT00180,MNDT00028,CUST0017,Spotify Premium,2026-05-21,2026-05-21,1,119,138465,SUCCESS,,,FALSE
ATMPT00181,MNDT00028,CUST0017,Spotify Premium,2026-06-21,2026-06-21,1,119,196538,SUCCESS,,,FALSE
ATMPT00182,MNDT00028,CUST0017,Spotify Premium,2026-07-21,2026-07-21,1,119,248146,SUCCESS,,,FALSE
ATMPT00183,MNDT00028,CUST0017,Spotify Premium,2026-08-21,2026-08-21,1,119,304369,SUCCESS,,,FALSE
ATMPT00184,MNDT00030,CUST0018,Cult.fit Gym,2026-03-21,2026-03-21,1,1499,36438,SUCCESS,,,FALSE
ATMPT00185,MNDT00030,CUST0018,Cult.fit Gym,2026-04-21,2026-04-21,1,1499,59087,SUCCESS,,,FALSE
ATMPT00186,MNDT00030,CUST0018,Cult.fit Gym,2026-05-21,2026-05-21,1,1499,93378,SUCCESS,,,FALSE
ATMPT00187,MNDT00030,CUST0018,Cult.fit Gym,2026-06-21,2026-06-21,1,1499,109590,SUCCESS,,,FALSE
ATMPT00188,MNDT00030,CUST0018,Cult.fit Gym,2026-07-21,2026-07-21,1,1499,139108,SUCCESS,,,FALSE
ATMPT00189,MNDT00030,CUST0018,Cult.fit Gym,2026-08-21,2026-08-21,1,1499,175538,FAILED,BANK_DECLINED,2026-08-22,TRUE
ATMPT00190,MNDT00030,CUST0018,Cult.fit Gym,2026-08-21,2026-08-23,2,1499,175538,SUCCESS,,,
ATMPT00191,MNDT00031,CUST0019,Netflix,2026-03-21,2026-03-21,1,199,4736,FAILED,BANK_DECLINED,2026-03-22,TRUE
ATMPT00192,MNDT00031,CUST0019,Netflix,2026-03-21,2026-03-23,2,199,4736,SUCCESS,,,
ATMPT00193,MNDT00031,CUST0019,Netflix,2026-04-21,2026-04-21,1,199,73175,SUCCESS,,,FALSE
ATMPT00194,MNDT00031,CUST0019,Netflix,2026-05-21,2026-05-21,1,199,85381,SUCCESS,,,FALSE
ATMPT00195,MNDT00031,CUST0019,Netflix,2026-06-21,2026-06-21,1,199,189233,SUCCESS,,,FALSE
ATMPT00196,MNDT00031,CUST0019,Netflix,2026-07-21,2026-07-21,1,199,194236,SUCCESS,,,FALSE
ATMPT00197,MNDT00031,CUST0019,Netflix,2026-08-21,2026-08-21,1,199,327003,SUCCESS,,,FALSE
ATMPT00198,MNDT00032,CUST0020,Spotify Premium,2026-03-03,2026-03-03,1,119,2208,FAILED,MANDATE_REVOKED,,FALSE
ATMPT00199,MNDT00033,CUST0020,LIC Premium,2026-03-11,2026-03-11,1,2499,413,FAILED,INSUFFICIENT_BALANCE,2026-03-16,TRUE
ATMPT00200,MNDT00033,CUST0020,LIC Premium,2026-03-11,2026-03-13,2,2499,413,FAILED,INSUFFICIENT_BALANCE,,
ATMPT00201,MNDT00033,CUST0020,LIC Premium,2026-03-11,2026-03-15,3,2499,413,FAILED,INSUFFICIENT_BALANCE,,
ATMPT00202,MNDT00033,CUST0020,LIC Premium,2026-04-11,2026-04-11,1,2499,15251,SUCCESS,,,FALSE
ATMPT00203,MNDT00033,CUST0020,LIC Premium,2026-05-11,2026-05-11,1,2499,25867,SUCCESS,,,FALSE
ATMPT00204,MNDT00033,CUST0020,LIC Premium,2026-06-11,2026-06-11,1,2499,28072,SUCCESS,,,FALSE
ATMPT00205,MNDT00033,CUST0020,LIC Premium,2026-07-11,2026-07-11,1,2499,42708,SUCCESS,,,FALSE
ATMPT00206,MNDT00033,CUST0020,LIC Premium,2026-08-11,2026-08-11,1,2499,56017,FAILED,BANK_DECLINED,2026-08-12,TRUE
